msgid, senderid, receiverid, msglength, when
1,17649636291636998A,6617175564718198A,163,Fri Oct 17 00:12:13 EDT 2008
2,39597647285112498A,6617175564718198A,331,Fri Oct 17 00:37:19 EDT 2008
3,119528847272198A98A,6617175564718198A,9,Fri Oct 17 00:54:54 EDT 2008
4,28577267294898A,6617175564718198A,182,Fri Oct 17 19:54:06 EDT 2008
5,6617175564718198A,17649636291636998A,438,Fri Oct 17 22:08:27 EDT 2008
6,6617175564718198A,39597647285112498A,1018,Fri Oct 17 22:16:33 EDT 2008
7,6617175564718198A,28577267294898A,903,Fri Oct 17 22:32:13 EDT 2008
8,2792148432571498A,6617175564718198A,490,Sat Oct 18 00:22:51 EDT 2008
9,16759758788245198A,6617175564718198A,27,Sat Oct 18 00:43:49 EDT 2008
10,721277687984898A,6617175564718198A,382,Sat Oct 18 00:44:25 EDT 2008
11,657985445198A,6617175564718198A,65,Sat Oct 18 06:56:08 EDT 2008
12,1539213811848398A,6617175564718198A,195,Sat Oct 18 12:18:20 EDT 2008
13,28577267294898A,6617175564718198A,2137,Sat Oct 18 12:21:00 EDT 2008
14,119628621866298A98A,6617175564718198A,406,Sat Oct 18 18:41:56 EDT 2008
15,1385231195262698A,6617175564718198A,252,Sat Oct 18 20:08:32 EDT 2008
16,6617175564718198A,77998371553233398A,89,Sat Oct 18 20:27:00 EDT 2008
17,77845357961998A,6617175564718198A,20,Sat Oct 18 20:33:36 EDT 2008
18,77998371553233398A,6617175564718198A,278,Sat Oct 18 21:02:02 EDT 2008
19,6617175564718198A,159969624145798A,165,Sun Oct 19 02:18:44 EDT 2008
20,134768369445598A,6617175564718198A,399,Sun Oct 19 04:06:22 EDT 2008
21,1167564762641298A,6617175564718198A,115,Sun Oct 19 12:42:37 EDT 2008
22,292314167946498A,6617175564718198A,937,Sun Oct 19 20:31:30 EDT 2008
23,39597647285112498A,6617175564718198A,1508,Sun Oct 19 23:39:56 EDT 2008
24,6237962821998A,6617175564718198A,81,Mon Oct 20 01:36:49 EDT 2008
25,15268466281149798A,6617175564718198A,81,Mon Oct 20 02:07:12 EDT 2008
26,1295746937458898A,6617175564718198A,282,Mon Oct 20 03:12:39 EDT 2008
27,11257173159698A,6617175564718198A,533,Mon Oct 20 16:48:23 EDT 2008
28,6617175564718198A,28577267294898A,3264,Tue Oct 21 02:44:57 EDT 2008
29,15629159274124698A,6617175564718198A,286,Tue Oct 21 17:15:16 EDT 2008
30,11326666288218198A,6617175564718198A,250,Tue Oct 21 21:06:08 EDT 2008
31,18499648635198A,6617175564718198A,193,Wed Oct 22 10:05:36 EDT 2008
32,6617175564718198A,11326666288218198A,798,Thu Oct 23 01:21:07 EDT 2008
33,11326666288218198A,6617175564718198A,1509,Thu Oct 23 13:11:51 EDT 2008
34,39597647285112498A,6617175564718198A,2021,Thu Oct 23 17:35:39 EDT 2008
35,28577267294898A,6617175564718198A,4373,Thu Oct 23 22:28:16 EDT 2008
36,6617175564718198A,11326666288218198A,2615,Fri Oct 24 01:03:11 EDT 2008
37,79765643697711498A,6617175564718198A,47,Fri Oct 24 02:19:19 EDT 2008
38,11326666288218198A,6617175564718198A,4295,Fri Oct 24 13:14:53 EDT 2008
39,6954898365798A98A,6617175564718198A,55,Fri Oct 24 16:26:38 EDT 2008
40,1321379289128598A,6617175564718198A,53,Fri Oct 24 23:54:26 EDT 2008
41,6617175564718198A,11326666288218198A,5780,Fri Oct 24 23:55:07 EDT 2008
42,1297288959113798A,6617175564718198A,41,Sat Oct 25 00:47:32 EDT 2008
43,1295746937458898A,6617175564718198A,129,Sat Oct 25 01:21:38 EDT 2008
44,6617175564718198A,1658312235944298A,185,Sat Oct 25 03:24:54 EDT 2008
45,1658312235944298A,6617175564718198A,522,Sat Oct 25 04:05:17 EDT 2008
46,1721815156925598A,6617175564718198A,728,Sat Oct 25 15:37:42 EDT 2008
47,6617175564718198A,1295746937458898A,461,Sat Oct 25 17:37:26 EDT 2008
48,721277687984898A,6617175564718198A,33,Sat Oct 25 20:33:23 EDT 2008
49,1295746937458898A,6617175564718198A,843,Sun Oct 26 03:04:26 EDT 2008
50,11326666288218198A,6617175564718198A,7079,Sun Oct 26 15:33:53 EDT 2008
51,216116229851298A,6617175564718198A,310,Sun Oct 26 20:29:24 EDT 2008
52,1962289198A79798A,6617175564718198A,467,Mon Oct 27 04:26:21 EDT 2008
53,11762364813758698A,6617175564718198A,59,Mon Oct 27 22:21:08 EDT 2008
54,6617175564718198A,11326666288218198A,8467,Mon Oct 27 23:14:36 EDT 2008
55,1962289198A79798A,6617175564718198A,663,Mon Oct 27 23:45:11 EDT 2008
56,6617175564718198A,721277687984898A,246,Mon Oct 27 23:45:38 EDT 2008
57,6617175564718198A,11762364813758698A,243,Mon Oct 27 23:52:13 EDT 2008
58,1564519888873798A98A,6617175564718198A,395,Tue Oct 28 00:25:34 EDT 2008
59,6617175564718198A,1564519888873798A98A,740,Tue Oct 28 00:34:31 EDT 2008
60,1962289198A79798A,6617175564718198A,326,Tue Oct 28 00:44:13 EDT 2008
61,1262465117437298A,6617175564718198A,154,Tue Oct 28 01:37:08 EDT 2008
62,793478927254498A,6617175564718198A,221,Tue Oct 28 01:43:37 EDT 2008
63,11254693175198A,6617175564718198A,144,Tue Oct 28 04:06:59 EDT 2008
64,11326666288218198A,6617175564718198A,9368,Tue Oct 28 15:24:12 EDT 2008
65,1564519888873798A98A,6617175564718198A,1269,Tue Oct 28 20:09:37 EDT 2008
66,12811349419198A,6617175564718198A,17,Tue Oct 28 20:52:37 EDT 2008
67,6617175564718198A,1262465117437298A,332,Tue Oct 28 21:28:30 EDT 2008
68,6617175564718198A,1962289198A79798A,595,Tue Oct 28 21:39:53 EDT 2008
69,6617175564718198A,1564519888873798A98A,1708,Tue Oct 28 21:46:10 EDT 2008
70,6617175564718198A,5448727618169998A,175,Tue Oct 28 21:56:47 EDT 2008
71,1564519888873798A98A,6617175564718198A,2144,Tue Oct 28 22:02:09 EDT 2008
72,6617175564718198A,1564519888873798A98A,2471,Tue Oct 28 22:10:25 EDT 2008
73,1564519888873798A98A,6617175564718198A,2810,Tue Oct 28 23:00:02 EDT 2008
74,1962289198A79798A,6617175564718198A,918,Wed Oct 29 00:12:28 EDT 2008
75,6617175564718198A,1962289198A79798A,1065,Wed Oct 29 00:51:26 EDT 2008
76,8359145286127498A,6617175564718198A,590,Wed Oct 29 00:55:14 EDT 2008
77,1962289198A79798A,6617175564718198A,1562,Wed Oct 29 01:36:01 EDT 2008
78,721277687984898A,6617175564718198A,581,Wed Oct 29 01:45:13 EDT 2008
79,141863527777298A,6617175564718198A,613,Thu Oct 30 00:43:27 EDT 2008
80,6617175564718198A,1962289198A79798A,1761,Thu Oct 30 01:25:46 EDT 2008
81,11326666288218198A,6617175564718198A,8722,Thu Oct 30 13:23:30 EDT 2008
82,6617175564718198A,11326666288218198A,9046,Fri Oct 31 00:55:48 EDT 2008
83,1962289198A79798A,6617175564718198A,1893,Fri Oct 31 03:45:15 EDT 2008
84,11326666288218198A,6617175564718198A,9821,Fri Oct 31 13:17:42 EDT 2008
85,79765643697711498A,6617175564718198A,47,Sat Nov  1 13:38:40 EDT 2008
86,1187668398A979498A,6617175564718198A,104,Sat Nov  1 22:50:07 EDT 2008
87,1332953143286198A,6617175564718198A,319,Sun Nov  2 01:40:58 EST 2008
88,124835548927798A,6617175564718198A,431,Sun Nov  2 10:18:20 EST 2008
89,1387841518187598A,6617175564718198A,158,Sun Nov  2 16:30:30 EST 2008
90,17182376886561898A,6617175564718198A,711,Sun Nov  2 18:51:15 EST 2008
91,33651685167798A,6617175564718198A,552,Sun Nov  2 23:37:58 EST 2008
92,988241197687298A,6617175564718198A,219,Tue Nov  4 01:37:39 EST 2008
93,6617175564718198A,33651685167798A,1082,Tue Nov  4 16:38:43 EST 2008
94,6617175564718198A,11326666288218198A,10307,Tue Nov  4 16:45:57 EST 2008
95,33651685167798A,6617175564718198A,2744,Tue Nov  4 21:58:57 EST 2008
96,6298A84835911198A,6617175564718198A,675,Tue Nov  4 23:30:26 EST 2008
97,11326666288218198A,6617175564718198A,10688,Tue Nov  4 23:35:52 EST 2008
98,27158723685534698A,6617175564718198A,121,Wed Nov  5 00:10:38 EST 2008
99,91548847327998A,6617175564718198A,352,Wed Nov  5 04:33:46 EST 2008
100,1295746937458898A,6617175564718198A,577,Wed Nov  5 23:15:23 EST 2008
101,298874689728498A,6617175564718198A,30,Thu Nov  6 01:07:33 EST 2008
102,6617175564718198A,298874689728498A,200,Thu Nov  6 01:14:43 EST 2008
103,6617175564718198A,4892696968652898A,177,Thu Nov  6 01:21:42 EST 2008
104,4892696968652898A,6617175564718198A,267,Thu Nov  6 01:23:17 EST 2008
105,6617175564718198A,17122388655167398A,260,Thu Nov  6 01:34:06 EST 2008
106,6617175564718198A,33651685167798A,4047,Thu Nov  6 02:23:13 EST 2008
107,15295827932755398A,6617175564718198A,291,Thu Nov  6 22:30:33 EST 2008
108,33651685167798A,6617175564718198A,5965,Thu Nov  6 22:56:58 EST 2008
109,6617175564718198A,5448727618169998A,81,Thu Nov  6 23:01:08 EST 2008
110,11986792838198A,6617175564718198A,172,Thu Nov  6 23:50:15 EST 2008
111,6617175564718198A,33651685167798A,7160,Fri Nov  7 01:35:03 EST 2008
112,33651685167798A,6617175564718198A,7852,Fri Nov  7 21:45:52 EST 2008
113,6617175564718198A,33651685167798A,476,Sun Nov  9 00:29:37 EST 2008
114,8342945288149298A,6617175564718198A,262,Sun Nov  9 05:13:18 EST 2008
115,5385185899466298A,6617175564718198A,18,Sun Nov  9 21:06:16 EST 2008
116,5394289955658298A,6617175564718198A,142,Sun Nov  9 23:14:06 EST 2008
117,33651685167798A,6617175564718198A,48,Sun Nov  9 23:31:53 EST 2008
118,51644479397214898A,6617175564718198A,141,Mon Nov 10 18:37:37 EST 2008
119,6617175564718198A,33651685167798A,225,Mon Nov 10 21:12:24 EST 2008
120,1752942582244698A,6617175564718198A,124,Mon Nov 10 22:28:03 EST 2008
121,33651685167798A,6617175564718198A,609,Tue Nov 11 19:17:23 EST 2008
122,5444865826598A,6617175564718198A,1388,Wed Nov 12 15:01:15 EST 2008
123,6321979476495998A,6617175564718198A,24,Thu Nov 13 01:34:55 EST 2008
124,17157151342474498A,6617175564718198A,95,Fri Nov 14 02:23:00 EST 2008
125,291529232167698A,6617175564718198A,787,Fri Nov 14 22:04:35 EST 2008
126,1146739211779798A,6617175564718198A,85,Sat Nov 15 00:37:45 EST 2008
127,1812871467458598A,6617175564718198A,190,Sat Nov 15 04:25:49 EST 2008
128,1114331986687698A,6617175564718198A,700,Sat Nov 15 15:56:01 EST 2008
129,979814187824898A,6617175564718198A,89,Sat Nov 15 22:05:54 EST 2008
130,298874689728498A,6617175564718198A,715,Sun Nov 16 05:37:56 EST 2008
131,6617175564718198A,298874689728498A,1240,Sun Nov 16 14:57:23 EST 2008
132,6617175564718198A,1114331986687698A,1778,Sun Nov 16 15:12:57 EST 2008
133,721277687984898A,6617175564718198A,48,Sun Nov 16 18:58:50 EST 2008
134,5187988453638598A,6617175564718198A,201,Sun Nov 16 21:29:40 EST 2008
135,1812871467458598A,6617175564718198A,23,Mon Nov 17 00:48:47 EST 2008
136,1114331986687698A,6617175564718198A,2686,Mon Nov 17 22:34:54 EST 2008
137,6617175564718198A,1114331986687698A,3944,Tue Nov 18 00:02:12 EST 2008
138,2792148432571498A,6617175564718198A,461,Tue Nov 18 00:38:26 EST 2008
139,11326666288218198A,6617175564718198A,83,Tue Nov 18 17:02:21 EST 2008
140,6617175564718198A,11326666288218198A,265,Tue Nov 18 22:02:53 EST 2008
141,11326666288218198A,6617175564718198A,401,Wed Nov 19 13:30:24 EST 2008
142,757774743481598A,6617175564718198A,239,Wed Nov 19 21:32:16 EST 2008
143,918232396698A,6617175564718198A,87,Wed Nov 19 22:00:40 EST 2008
144,122664249895798A,6617175564718198A,41,Thu Nov 20 19:59:34 EST 2008
145,33651685167798A,6617175564718198A,164,Thu Nov 20 21:19:54 EST 2008
146,1114331986687698A,6617175564718198A,4873,Thu Nov 20 22:49:17 EST 2008
147,7591488159281798A,6617175564718198A,344,Fri Nov 21 20:31:01 EST 2008
148,1765327622239698A,6617175564718198A,369,Sat Nov 22 12:17:54 EST 2008
149,6617175564718198A,1114331986687698A,5491,Sat Nov 22 15:31:28 EST 2008
150,6617175564718198A,33651685167798A,568,Sat Nov 22 15:39:04 EST 2008
151,28253788222783598A,6617175564718198A,330,Sat Nov 22 16:40:13 EST 2008
152,721277687984898A,6617175564718198A,37,Sun Nov 23 20:18:13 EST 2008
153,161431119331898A,6617175564718198A,59,Sun Nov 23 22:20:58 EST 2008
154,1118521232539398A,6617175564718198A,596,Mon Nov 24 03:49:30 EST 2008
155,6617175564718198A,721277687984898A,126,Mon Nov 24 23:18:53 EST 2008
156,721277687984898A,6617175564718198A,423,Mon Nov 24 23:37:42 EST 2008
157,721277687984898A,6617175564718198A,25,Thu Nov 27 19:42:20 EST 2008
158,918232396698A,6617175564718198A,119,Fri Nov 28 19:19:48 EST 2008
159,6617175564718198A,15397357219485898A,92,Sat Nov 29 20:47:04 EST 2008
160,272976716479698A,6617175564718198A,275,Sun Nov 30 13:44:27 EST 2008
161,138192736621398A,6617175564718198A,58,Mon Dec  1 00:26:52 EST 2008
162,1226624826263498A,6617175564718198A,211,Mon Dec  1 01:28:01 EST 2008
163,1269823279728798A,6617175564718198A,721,Wed Dec  3 01:12:59 EST 2008
164,12217162673528198A,6617175564718198A,31,Sat Dec  6 00:33:55 EST 2008
165,744524757236398A,6617175564718198A,110,Sat Dec  6 01:40:58 EST 2008
166,4632136965338298A,6617175564718198A,261,Sun Dec  7 17:01:02 EST 2008
167,3534292471253198A,6617175564718198A,305,Sun Dec  7 21:32:00 EST 2008
168,1138383388669298A,6617175564718198A,845,Mon Dec  8 02:22:16 EST 2008
169,1394422959562498A98A,6617175564718198A,173,Mon Dec  8 20:38:58 EST 2008
170,1394422959562498A98A,6617175564718198A,173,Mon Dec  8 20:39:42 EST 2008
171,1394422959562498A98A,6617175564718198A,173,Mon Dec  8 20:40:13 EST 2008
172,1394422959562498A98A,6617175564718198A,173,Mon Dec  8 20:40:44 EST 2008
173,298874689728498A,6617175564718198A,925,Tue Dec  9 23:56:45 EST 2008
174,6354112532462698A,6617175564718198A,135,Wed Dec 10 01:43:51 EST 2008
175,423933581124998A,6617175564718198A,163,Wed Dec 10 02:02:10 EST 2008
176,716454938188198A,6617175564718198A,18,Fri Dec 12 00:06:10 EST 2008
177,69713845858521998A,6617175564718198A,884,Sat Dec 13 03:43:05 EST 2008
178,11383443865422998A,6617175564718198A,25,Sun Dec 14 11:50:30 EST 2008
179,13364259175225598A,6617175564718198A,949,Tue Dec 16 02:20:27 EST 2008
180,14143419874436498A,6617175564718198A,569,Wed Dec 17 02:05:01 EST 2008
181,947596983983998A,6617175564718198A,153,Thu Dec 18 00:40:42 EST 2008
182,15454155776898A,6617175564718198A,85,Thu Dec 18 23:39:47 EST 2008
183,16597686541214298A,6617175564718198A,100,Fri Dec 19 03:09:23 EST 2008
